epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,273.029,0.7809,1.36019,1.15752,1.19577,0.64624,0.66687,0.66854,0.38862,0.61762,0.63704,0.6052,0.36251,1.20034,2.20938,1.47625,1.76158,0.000709809,0.000709809,0.000709809
31,281.696,0.7254,1.23326,1.08271,1.16716,0.69156,0.69878,0.71409,0.4601,0.74532,0.63371,0.6941,0.44694,1.06858,2.23178,1.44402,1.63743,0.000676802,0.000676802,0.000676802
32,290.835,0.7667,1.42181,1.09423,1.23595,0.74511,0.63493,0.68327,0.44483,0.73917,0.6065,0.64664,0.39498,1.07805,2.59155,1.42345,1.61479,0.000643795,0.000643795,0.000643795
33,298.271,0.70102,1.3004,1.02188,1.13864,0.74313,0.62772,0.65769,0.42252,0.75483,0.61808,0.64515,0.39075,1.07971,2.13508,1.45839,1.60746,0.000610789,0.000610789,0.000610789
34,308.5,0.74302,1.20056,1.01104,1.16245,0.70962,0.6324,0.67326,0.42042,0.64661,0.64508,0.63126,0.38841,1.13886,2.23217,1.48056,1.6529,0.000577782,0.000577782,0.000577782
35,316.697,0.70761,1.25184,0.95492,1.13044,0.67795,0.70836,0.69874,0.46632,0.66522,0.68466,0.67628,0.44091,1.02065,2.35989,1.42129,1.57703,0.000544776,0.000544776,0.000544776
36,325.945,0.713,1.3289,0.94853,1.12877,0.63525,0.6816,0.68023,0.46835,0.63487,0.68125,0.65518,0.44211,0.98725,2.37494,1.35626,1.5206,0.000511769,0.000511769,0.000511769
37,335.393,0.68992,1.27062,0.93876,1.11502,0.6638,0.66432,0.64915,0.45916,0.65915,0.64688,0.61622,0.41479,0.98397,2.26815,1.37335,1.50897,0.000478762,0.000478762,0.000478762
38,342.951,0.66137,1.24363,0.89933,1.08008,0.66967,0.69022,0.6591,0.45456,0.66849,0.6437,0.62419,0.40584,0.96986,2.21831,1.33876,1.51063,0.000445756,0.000445756,0.000445756
39,351.962,0.71742,1.3745,0.95476,1.16876,0.66485,0.67796,0.65773,0.45294,0.66444,0.65648,0.62118,0.40248,0.95348,2.12171,1.31643,1.51648,0.000412749,0.000412749,0.000412749
40,360.049,0.64408,1.16766,0.90855,1.10909,0.66456,0.70175,0.65497,0.47122,0.67339,0.65124,0.62229,0.40737,0.94587,1.95922,1.30848,1.51148,0.000379743,0.000379743,0.000379743
41,370.996,0.6686,1.26302,1.14307,1.19297,0.69933,0.68281,0.67378,0.46014,0.68667,0.66454,0.63296,0.41632,1.0036,2.08193,1.31441,1.60137,0.000346736,0.000346736,0.000346736
42,379.906,0.68617,1.17809,0.95319,1.19496,0.66941,0.63586,0.60631,0.37159,0.66227,0.62719,0.56703,0.33375,1.12352,2.41576,1.52753,1.73108,0.000313729,0.000313729,0.000313729
43,389.008,0.55158,1.01876,0.84801,1.11365,0.5944,0.65865,0.5838,0.37873,0.60175,0.62512,0.55473,0.33442,1.02871,2.29745,1.54875,1.60064,0.000280723,0.000280723,0.000280723
44,397.094,0.57478,0.96393,0.83996,1.13514,0.66414,0.71421,0.64332,0.43581,0.64693,0.69894,0.61648,0.38982,0.96092,2.15889,1.38919,1.52985,0.000247716,0.000247716,0.000247716
45,405.341,0.53734,1.01399,0.86025,1.10256,0.75462,0.71242,0.70259,0.47956,0.73819,0.69044,0.67604,0.42947,0.95858,2.20838,1.29256,1.5516,0.00021471,0.00021471,0.00021471
46,412.61,0.57444,1.0874,0.81597,1.13563,0.77277,0.71716,0.71781,0.50331,0.78514,0.66829,0.68728,0.45496,0.9033,2.21997,1.24461,1.50241,0.000181703,0.000181703,0.000181703
47,421.236,0.56311,1.00696,0.78677,1.13145,0.75736,0.69808,0.71352,0.50585,0.7646,0.66042,0.68301,0.45996,0.90274,2.20601,1.22258,1.49033,0.000148696,0.000148696,0.000148696
48,428.173,0.54362,0.9142,0.82044,1.15302,0.76582,0.69113,0.69845,0.49366,0.75263,0.67529,0.68109,0.45651,0.92395,2.22097,1.22726,1.51635,0.00011569,0.00011569,0.00011569
49,436.8,0.5115,0.94221,0.7457,1.05529,0.75028,0.69447,0.70399,0.49233,0.73155,0.67217,0.67444,0.45618,0.92299,2.22334,1.23439,1.51683,8.26832e-05,8.26832e-05,8.26832e-05
50,443.93,0.50924,1.00328,0.76036,1.06776,0.75958,0.69668,0.70539,0.50303,0.74559,0.68172,0.68196,0.46039,0.90174,2.20265,1.22365,1.48836,4.96766e-05,4.96766e-05,4.96766e-05
